"House","Title","ImageUrl","SavedAs","PostUrl"
"A","ARGOS - Pallas Athene","https://apaniche.vn/wp-content/uploads/2024/03/argos-pallas-athene-edp-mui-huong.webp","A-ARGOS---Pallas-Athene.webp","https://www.dufteriet.no/2025/08/argos-pallas-athene.html"
"A","ARGOS - Sacred Flame","https://oligarch.com.au/wp-content/uploads/2024/08/Argos-Sacred-Flame-Perfume-Australia.png","A-ARGOS---Sacred-Flame.png","https://www.dufteriet.no/2025/08/argos-sacred-flame.html"
"A","ARGOS - Triumph Of Bacchus Extrait","https://tuxedo.no/cdn/shop/files/ArgosTriumphofBacchusExtrait100mlBottleCandidPoseZoomOut_900x_0779fc6f-d1c0-4718-b390-b521fa795c0c.webp?v=1729274900&width=1946","A-ARGOS---Triumph-Of-Bacchus-Extrait.webp","https://www.dufteriet.no/2025/08/argos-triumph-of-bacchus-extrait.html"
"A","ARMAF - CLUB DE NUIT INTENSE MAN EDT","https://tse1.mm.bing.net/th/id/OIP.JfLTq6aG4yoLtKS0ucADIwHaHa?pid=Api","A-ARMAF---CLUB-DE-NUIT-INTENSE-MAN-EDT.JfLTq6aG4yoLtKS0ucADIwHaHa","https://www.dufteriet.no/2025/08/armaf-club-de-nuit-intense-man-flaske.html"
"B","BDK - ROUGE SMOKING EXTRAIT","https://media.johnlewiscontent.com/i/JohnLewis/112902823alt1?fmt=auto&$background-off-white$&wid=1440&sm=c","B-BDK---ROUGE-SMOKING-EXTRAIT.jpg","https://www.dufteriet.no/2025/08/bdk-rouge-smoking-extrait.html"
"B","BOADICEA THE VICTORIOUS - CONSORT","https://cdn.shopify.com/s/files/1/0572/8357/5976/files/BV100CON_BOADICEA_Consort_FIRECOLLECTION_style.jpg?v=1631882970","B-BOADICEA-THE-VICTORIOUS---CONSORT.jpg","https://www.dufteriet.no/2025/08/boadicea-victorious-consort-flaske.html"
"C","Caron - Pour Un Homme de Caron Le Matin","https://media.parfumo.com/perfumes/77/774909-pour-un-homme-de-caron-le-matin-caron_1200.jpg","C-Caron---Pour-Un-Homme-de-Caron-Le-Matin.jpg","https://www.dufteriet.no/2025/09/caron-pour-un-homme-de-caron-le-matin.html"
"C","CHANEL - PLATINUM EGOISTE EDT","https://u-mercari-images.mercdn.net/photos/m62576199445_2.jpg","C-CHANEL---PLATINUM-EGOISTE-EDT.jpg","https://www.dufteriet.no/2025/08/chanel-platinum-egoiste-edt.html"
"C","CHANEL - SYCOMORE","https://i.ebayimg.com/images/g/sigAAOSw1rNlsbfj/s-l1200.jpg","C-CHANEL---SYCOMORE.jpg","https://www.dufteriet.no/2025/08/chanel-sycomore.html"
"C","CHAPEL FACTORY - L'EAU D'EPINE","https://zgoperfumery.com/cdn/shop/files/chapel-factory-chapel-factory-eau-depine-eau-de-parfum__67134.1700106450.1280.1280.jpg?v=1750623245&width=600","C-CHAPEL-FACTORY---L'EAU-D'EPINE.jpg","https://www.dufteriet.no/2025/08/chapel-factory-leau-depine.html"
"C","CHRISTIAN PROVENZANO PARFUMS - COLOSSEUM","https://almaycasa.co.il/cdn/shop/files/CHRISTIAN_PROVENZANO_Colosseum_100ml_Extrait_De_Parfum_02.jpg?v=1749820024","C-CHRISTIAN-PROVENZANO-PARFUMS---COLOSSEUM.jpg","https://www.dufteriet.no/2025/08/christian-provenzano-parfums-colosseum.html"
"C","CITY RHYTHM - 86.41","https://images.squarespace-cdn.com/content/60e7abd541a3ce08a68a3ada/134bbd50-b52f-4784-bdf2-ac63813e9be2/IMG_4785.jpeg?format=1500w&content-type=image%2Fjpeg","C-CITY-RHYTHM---86.41.jpeg","https://www.dufteriet.no/2025/08/city-rhythm-8641.html"
"C","CITY RHYTHM - AUSTIN","https://img.kenperfume.com/wp-content/uploads/2023/05/0D76CB3C-CB48-4564-99D9-5FC73C4C68E1.jpg","C-CITY-RHYTHM---AUSTIN.jpg","https://www.dufteriet.no/2025/08/city-rhythm-austin.html"
"C","CITY RHYTHM - BARCELONA","https://images.squarespace-cdn.com/content/v1/60e7abd541a3ce08a68a3ada/1732167444415-UWA7B5Z9LIQB59YV5H41/60DE784B-9560-489D-B81A-771C7624E5B0.jpeg?format=1500w","C-CITY-RHYTHM---BARCELONA.jpeg","https://www.dufteriet.no/2025/08/city-rhythm-barcelona.html"
"C","CITY RHYTHM - MANHATTAN","https://i.ebayimg.com/images/g/fagAAOSwWVxkZeeh/s-l1200.png","C-CITY-RHYTHM---MANHATTAN.png","https://www.dufteriet.no/2025/08/city-rhythm-manhattan.html"
"C","CITY RHYTHM - MANHATTAN MIDNIGHT","https://images.squarespace-cdn.com/content/v1/60e7abd541a3ce08a68a3ada/fe5ff355-6941-4033-9cac-4465bddef46f/27F81F68-EED8-4516-A6D3-CD48FA0D1F1E.jpg?format=1000w","C-CITY-RHYTHM---MANHATTAN-MIDNIGHT.jpg","https://www.dufteriet.no/2025/08/city-rhythm-manhattan-midnight.html"
"C","CITY RHYTHM - MARTHA'S VINEYARD","https://fimgs.net/mdimg/perfume/o.112551.jpg","C-CITY-RHYTHM---MARTHA'S-VINEYARD.jpg","https://www.dufteriet.no/2025/08/city-rhythm-marthas-vineyard.html"
"C","CITY RHYTHM - MIAMI","https://static1.squarespace.com/static/60e7abd541a3ce08a68a3ada/t/66f9815960a1807725992c19/1727627609942/IMG_1877.jpeg?format=1500w","C-CITY-RHYTHM---MIAMI.jpeg","https://www.dufteriet.no/2025/08/city-rhythm-miami.html"
"C","CITY RHYTHM - MIAMI TROPICAL CONFESSIONS","https://tuxedo.no/cdn/shop/files/A4343F41-EEE4-4BB3-ACBA-1280A7F48433.jpg?v=1743280035&width=1946","C-CITY-RHYTHM---MIAMI-TROPICAL-CONFESSIONS.jpg","https://www.dufteriet.no/2025/08/city-rhythm-miami-tropical-confessions.html"
"C","CITY RHYTHM - NASHVILLE","https://www.hausofdubai.com/cdn/shop/files/IMG_3962.jpg?v=1736272326&width=1946","C-CITY-RHYTHM---NASHVILLE.jpg","https://www.dufteriet.no/2025/08/city-rhythm-nashville.html"
"C","CITY RHYTHM - PUERTO RICO","https://www.olfactoryfactoryllc.com/cdn/shop/files/squared_eighteenth_image.jpg?v=1740441384","C-CITY-RHYTHM---PUERTO-RICO.jpg","https://www.dufteriet.no/2025/08/city-rhythm-puerto-rico.html"
"C","CITY RHYTHM - RED LINE 2654","https://images.squarespace-cdn.com/content/v1/60e7abd541a3ce08a68a3ada/1753909476861-13G8R9VEK8MGUK43NWEF/11987339-B89F-42D6-9D56-CC7907C44A5D.jpeg?format=1000w","C-CITY-RHYTHM---RED-LINE-2654.jpeg","https://www.dufteriet.no/2025/08/city-rhythm-red-line-2654.html"
"C","CITY RHYTHM - SAN DIEGO","https://images.squarespace-cdn.com/content/v1/60e7abd541a3ce08a68a3ada/b25f3332-584e-49f3-a55f-b254415c63a0/san+diego+versie1.jpeg?format=1000w","C-CITY-RHYTHM---SAN-DIEGO.jpeg","https://www.dufteriet.no/2025/08/city-rhythm-san-diego.html"
"C","CITY RHYTHM - ST. JOHN","https://tuxedo.no/cdn/shop/files/CityRhythmSt.JohnExtrait_1.webp?v=1743280573","C-CITY-RHYTHM---ST.-JOHN.webp","https://www.dufteriet.no/2025/08/city-rhythm-st-john.html"
"C","CITY RHYTHM - TEMPO","https://www.nichefragrancelovers.com.au/cdn/shop/products/C353F462-22B7-44D5-BE9A-D7634951ECFB_2048x.jpg?v=1666269627","C-CITY-RHYTHM---TEMPO.jpg","https://www.dufteriet.no/2025/08/city-rhythm-tempo.html"
"C","CLIVE CHRISTIAN - JUMP UP AND KISS ME HEDONISTIC","https://losaromas.ee/image/cache/catalog/products/stock/CLIVE_CHRISTIAN/21963-Clive_Christian_Jump_Up_And_Kiss_Me_Hedonistic_2021_Parfum_Clive_Christian_Jump_Up_And_Kiss_Me_Hedonistic_2021_Parfum_50_ml-1000x1000.jpg","C-CLIVE-CHRISTIAN---JUMP-UP-AND-KISS-ME-HEDONISTIC.jpg","https://www.dufteriet.no/2025/08/clive-christian-jump-up-and-kiss-me.html"
"C","CREED - AVENTUS","https://s1.thcdn.com/design-assets/products/12870029/12870029/12870029-1.jpg","C-CREED---AVENTUS.jpg","https://www.dufteriet.no/2025/08/creed-aventus.html"
"C","CREED - EROLFA","https://mediafiles.maxaroma.com/9cd29e92-4b8f-436f-ad1f-8e368b30dc1d/https://www.maxaroma.com/productimages/large/UP3508441001015_1.jpg?ver=1726028527","C-CREED---EROLFA.jpg","https://www.dufteriet.no/2025/08/creed-erolfa.html"
"C","CREED - GREEN IRISH TWEED","https://creedboutique.com/cdn/shop/files/1500x1500_GIT-Notes.jpg?v=1745962586&width=1500","C-CREED---GREEN-IRISH-TWEED.jpg","https://www.dufteriet.no/2025/08/creed-green-irish-tweed.html"
"C","CREED - ROYAL OUD","https://mediafiles.maxaroma.com/9cd29e92-4b8f-436f-ad1f-8e368b30dc1d/https://www.maxaroma.com/productimages/large/UP3508441001121_1.jpg?ver=1726115186","C-CREED---ROYAL-OUD.jpg","https://www.dufteriet.no/2025/08/creed-royal-oud.html"
"C","CREED - ROYAL WATER","https://media.johnlewiscontent.com/i/JohnLewis/237903416alt1?fmt=auto&$background-off-white$","C-CREED---ROYAL-WATER.jpg","https://www.dufteriet.no/2025/08/creed-royal-water.html"
"C","CREED - SILVER MOUNTAIN WATER","https://themadisonapothecary.com/cdn/shop/files/SILVER2.png?v=1708193161","C-CREED---SILVER-MOUNTAIN-WATER.png","https://www.dufteriet.no/2025/08/creed-silver-mountain-water.html"
"C","CREED - VIKING","https://www.creedfragrances.co.uk/cdn/shop/files/Viking-E6E5E1.png?v=1748003589&width=1500","C-CREED---VIKING.png","https://www.dufteriet.no/2025/08/creed-viking.html"
"C","CREED - VIRGIN ISLAND WATER","https://www.magasin.no/dw/image/v2/BFCS_PRD/on/demandware.static/-/Sites-mdn-master-catalog/default/dw71c49a7e/large2/D4/3508441001138_2.jpg?sw=600&sh=720&sm=fit&sfrm=jpg","C-CREED---VIRGIN-ISLAND-WATER.jpg","https://www.dufteriet.no/2025/08/creed-virgin-island-water.html"
"D","DIOR - EAU SAUVAGE COLOGNE","https://www.myperfumeshop.qa/cdn/shop/files/pixelcut-export_9_92d5eb30-339a-4200-a6f2-95763738f61b.jpg?v=1738609525&width=1080","D-DIOR---EAU-SAUVAGE-COLOGNE.jpg","https://www.dufteriet.no/2025/08/dior-eau-sauvage-cologne.html"
"D","DIOR - EAU SAUVAGE EXTREME EDT","https://i.etsystatic.com/30414437/r/il/e771d8/3231623617/il_fullxfull.3231623617_lbf2.jpg","D-DIOR---EAU-SAUVAGE-EXTREME-EDT.jpg","https://www.dufteriet.no/2025/08/dior-eau-sauvage-extreme-edt.html"
"D","DIOR - EAU SAUVAGE PARFUM","https://fredrikoglouisa.no/wp-content/uploads/2020/08/3348901363471.jpg","D-DIOR---EAU-SAUVAGE-PARFUM.jpg","https://www.dufteriet.no/2025/08/dior-eau-sauvage-parfum.html"
"D","DIOR - FAHRENHEIT EDT","https://finalchoice.com.pk/cdn/shop/files/1_ad8b5e72-f879-47cf-81e6-e3ba484351b7.webp?v=1743006851","D-DIOR---FAHRENHEIT-EDT.webp","https://www.dufteriet.no/2025/08/dior-fahrenheit-edt.html"
"D","DIOR - GRIS DIOR","https://www.dior.com/dw/image/v2/BGXS_PRD/on/demandware.static/-/Sites-master_dior/default/dw4daa46fb/Y0840550/Y0840550_C099700392_E02_GHC.jpg?sw=800","D-DIOR---GRIS-DIOR.jpg","https://www.dufteriet.no/2025/08/dior-gris-dior.html"
"D","DIOR - SANTAL NOIR","https://kaneen.com/media/catalog/product//S/a/Santal-Noir-Perfume-by-Dior-EDP-For-Men-and-Women-125-ml-2-33766537.webp","D-DIOR---SANTAL-NOIR.webp","https://www.dufteriet.no/2025/08/dior-santal-noir.html"
"D","DIOR - SAUVAGE EDP","https://fredrikoglouisa.no/wp-content/uploads/2020/06/3348901368254.jpg","D-DIOR---SAUVAGE-EDP.jpg","https://www.dufteriet.no/2025/08/dior-sauvage-edp.html"
"D","DIOR - TOBACOLOR","https://whitelabel.dior.com/dw/image/v2/BJSW_PRD/on/demandware.static/-/Sites-pcd-whitelabel-master/default/dw049c9869/Y0996186/Y0996186_E02_GHC.jpg?sw=700&sh=700","D-DIOR---TOBACOLOR.jpg","https://www.dufteriet.no/2025/08/dior-tobacolor.html"
"E","ELECTIMUSS -  AUSTER","https://cdn4.beautinow.com/wp-content/uploads/2023/08/174.2.jpg","E-ELECTIMUSS---AUSTER.jpg","https://www.dufteriet.no/2025/08/electimuss-auster.html"
"E","ELECTIMUSS  - PERSEPHONE'S PATCHOULI","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQI-8WQlhXVwntoxueSF_iM2tPgctSi6Dq8eg&s","E-ELECTIMUSS---PERSEPHONE'S-PATCHOULI.jpg","https://www.dufteriet.no/2025/08/electimuss-persephones-patchouli.html"
"E","ELECTIMUSS - BLACK CAVIAR","https://cdn4.beautinow.com/wp-content/uploads/2024/02/Electimuss-London-Nero-Black-Caviar-EDP-100ml-2.jpg","E-ELECTIMUSS---BLACK-CAVIAR.jpg","https://www.dufteriet.no/2025/08/electimuss-black-caviar.html"
"E","ESSENTIAL PARFUMS - BOIS IMPÉRIAL","https://tuxedo.no/cdn/shop/files/Essential-Parfums-Bois-imperial-7.jpg?v=1754575424&width=1445","E-ESSENTIAL-PARFUMS---BOIS-IMPÉRIAL.jpg","https://www.dufteriet.no/2025/08/essential-parfums-bois-imperial.html"
"E","EX NIHILO - BLUE TALISMAN","https://www.aromak.no/1204-superlarge_default/ex-nihilo-blue-talisman-edp.jpg","E-EX-NIHILO---BLUE-TALISMAN.jpg","https://www.dufteriet.no/2025/08/ex-nihilo-blue-talisman.html"
"E","EX NIHILO - THE HEDONIST","https://media.parfumo.com/perfumes/80/8017ed-the-hedonist-eau-de-parfum-ex-nihilo_1200.jpg","E-EX-NIHILO---THE-HEDONIST.jpg","https://www.dufteriet.no/2025/08/ex-nihilo-hedonist.html"
"F","FRAGRANCE ONE – OFFICE FOR MEN","https://mediafiles.maxaroma.com/9cd29e92-4b8f-436f-ad1f-8e368b30dc1d/https://www.maxaroma.com/productimages/large/UP4270000219672_1.jpg?ver=1755321790","F-FRAGRANCE-ONE-–-OFFICE-FOR-MEN.jpg","https://www.dufteriet.no/2025/08/fragrance-one-office-for-men.html"
"F","FRANCESCA BIANCHI - UNDER MY SKIN","https://i.makeup.uk/v/vt/vtxld0ffqqri.jpg","F-FRANCESCA-BIANCHI---UNDER-MY-SKIN.jpg","https://www.dufteriet.no/2025/08/francesca-bianchi-under-my-skin.html"
"G","GIORGIO ARMANI - THÉ YULONG SOIE DE NACRE","https://media.neimanmarcus.com/f_auto,q_auto:low,ar_4:5,c_fill,dpr_2.0,w_790/01/nm_4184522_100000_b","G-GIORGIO-ARMANI---THÉ-YULONG-SOIE-DE-NACRE.jpg","https://www.dufteriet.no/2025/08/giorgio-armani-yulong-soie-de-nacre.html"
"G","GISADA - AMBASSADOR FOR MEN EDP","https://i1.perfumesclub.com/grande/202804-4.jpg","G-GISADA---AMBASSADOR-FOR-MEN-EDP.jpg","https://www.dufteriet.no/2025/08/gisada-ambassador-for-men-edp.html"
"G","GUERLAIN - L’HOMME IDÉAL EDT","https://fimgs.net/mdimg/perfume-thumbs/375x500.25780.jpg","G-GUERLAIN---L’HOMME-IDÉAL-EDT.jpg","https://www.dufteriet.no/2025/08/guerlain-lhomme-ideal-edt.html"
"G","GUERLAIN - L'HOMME IDÉAL L'INTENSE EDP","https://fredrikoglouisa.no/wp-content/uploads/2024/10/3346470134928.jpg","G-GUERLAIN---L'HOMME-IDÉAL-L'INTENSE-EDP.jpg","https://www.dufteriet.no/2025/08/guerlain-lhomme-ideal-lintense-edp.html"
"G","GUERLAIN - METALLICA (METALYS)","https://i.etsystatic.com/34895077/r/il/d6242b/6139958424/il_fullxfull.6139958424_e9nb.jpg","G-GUERLAIN---METALLICA-(METALYS).jpg","https://www.dufteriet.no/2025/08/guerlain-metallica-metalys.html"
"G","GUERLAIN - SPIRITUEUSE DOUBLE VANILLE","https://hrd-live.cdn.scayle.cloud/images/304d9332d3a252290a24fdb2eed934b0.jpg?quality=75","G-GUERLAIN---SPIRITUEUSE-DOUBLE-VANILLE.jpg","https://www.dufteriet.no/2025/08/guerlain-spiritueuse-double-vanille.html"
"G","GUERLAIN - VÉTIVER FAUVE","https://storage.liveshopping.bambuser.com/lcpro-9cc17.appspot.com/o/screens%2FNlfe4Pt8z6P26eB0oT70%2FBGQvrMtkbQyv2ZHAHor1%2Fended-285bc41f-733e-4c4e-a104-4d35d087b0b8.jpg?alt=media&token=008ad531-1ad9-454a-ac2a-f46440fa9ca1","G-GUERLAIN---VÉTIVER-FAUVE.jpg","https://www.dufteriet.no/2025/08/guerlain-vetiver-fauve-flaske.html"
"H","HERMÈS -  EAU D'HERMÈS 2001 EDT","https://assets.hermes.com/is/image/hermesproduct/eau-d-hermes-eau-de-toilette--38290-worn-2-0-0-800-800_g.jpg","H-HERMÈS---EAU-D'HERMÈS-2001-EDT.jpg","https://www.dufteriet.no/2025/08/hermes-eau-dhermes-2001-edt.html"
"H","HOUBIGANT - AMBRE DES ABYSSES","https://www.houbigant-parfum.com/cdn/shop/products/Ambredesabyssesedp_1_1200x.png?v=1679649287","H-HOUBIGANT---AMBRE-DES-ABYSSES.png","https://www.dufteriet.no/2025/08/houbigant-ambre-des-abysses.html"
"H","HOUBIGANT - COLOGNE INTENSE","https://www.houbigant-parfum.com/cdn/shop/files/cihemotional01.jpg?v=4664849254013138255","H-HOUBIGANT---COLOGNE-INTENSE.jpg","https://www.dufteriet.no/2025/08/houbigant-cologne-intense.html"
"H","HOUBIGANT - DUC DE VERVINS L'EXTREME","https://us.houbigant-parfum.com/cdn/shop/files/ddvemotional01.jpg?v=1105993793356243133","H-HOUBIGANT---DUC-DE-VERVINS-L'EXTREME.jpg","https://www.dufteriet.no/2025/08/houbigant-duc-de-vervins-lextreme.html"
"H","HOUBIGANT - FOUGERE ROYALE (2010 EDP)","https://fragrancehouse.co.uk/wp-content/uploads/2024/03/Houbigant-Fougere-Royale-Extrait-de-Parfum-Ad-1.jpg","H-HOUBIGANT---FOUGERE-ROYALE-(2010-EDP).jpg","https://www.dufteriet.no/2025/08/houbigant-fougere-royale-2010-edp.html"
"H","HUGO BOSS - BOTTLED NIGHT","https://image-resizing.booztcdn.com/hugo-boss-fragrance/hbf11800603001_cclear_10.webp?has_grey=0&has_webp=1&version=7f9e99381d72daad2640608d5bda7b8c&dpr=2.5&size=w400","H-HUGO-BOSS---BOTTLED-NIGHT.webp","https://www.dufteriet.no/2025/08/hugo-boss-bottled-night.html"
"I","INITIO PARFUMS - PSYCHEDELIC LOVE","https://indiehousefragrances.com/cdn/shop/products/ScreenShot2021-09-07at2.41.15PM_1800x1800.png?v=1662396719","I-INITIO-PARFUMS---PSYCHEDELIC-LOVE.png","https://www.dufteriet.no/2025/08/initio-parfums-psychedelic-love.html"
"I","INITIO PARFUMS - SIDE EFFECT","https://fredrikoglouisa.no/wp-content/uploads/2024/05/3701415902596_1.jpg","I-INITIO-PARFUMS---SIDE-EFFECT.jpg","https://www.dufteriet.no/2025/08/initio-parfums-side-effect.html"
"I","ISSEY MIYAKE - L'EAU D'ISSEY POUR HOMME NOIR AMBRÈ","https://shinacosmetics.com/wp-content/uploads/2024/07/noir-ambre-issey-miyake-for-men-1024x1024.jpg","I-ISSEY-MIYAKE---L'EAU-D'ISSEY-POUR-HOMME-NOIR-AMBRÈ.jpg","https://www.dufteriet.no/2025/08/issey-miyake-leau-dissey-pour-homme.html"
"K","KILIAN - BAMBOO HARMONY","https://m.bykilian.com/media/images/products/833x968/kl_sku_N3E101_833x968_4.jpg","K-KILIAN---BAMBOO-HARMONY.jpg","https://www.dufteriet.no/2025/08/kilian-bamboo-harmony.html"
"L","LES INDEMODABLES - AMBRE SUPREME","https://fimgs.net/mdimg/perfume-thumbs/375x500.70274.jpg","L-LES-INDEMODABLES---AMBRE-SUPREME.jpg","https://www.dufteriet.no/2025/08/les-indemodables-ambre-supreme.html"
"L","LORENZO PAZZAGLIA - EVIL ANGEL A.K.A. 28.09","https://lifestyleperfume.am/images/product/5128/1734256565-464.jpg","L-LORENZO-PAZZAGLIA---EVIL-ANGEL-A.K.A.-28.09.jpg","https://www.dufteriet.no/2025/08/lorenzo-pazzaglia-evil-angel-aka-2809.html"
"L","LORENZO PAZZAGLIA - SPEACHLESS","https://www.beautytheshop.com/imgs/productos_cosmetica/resized/680x680/8050628980576_2.webp","L-LORENZO-PAZZAGLIA---SPEACHLESS.webp","https://www.dufteriet.no/2025/08/lorenzo-pazzaglia-speachless.html"
"L","LOUIS VUITTON - AU HASARD","https://en.louisvuitton.com/images/is/image/lv/1/PP_VP_L/louis-vuitton-au-hasard--LP0054_PM1_Interior%20view.jpg","L-LOUIS-VUITTON---AU-HASARD.jpg","https://www.dufteriet.no/2025/08/louis-vuitton-au-hasard.html"
"L","LOUIS VUITTON - CITY OF STARS","https://eu.louisvuitton.com/images/is/image/lv/1/PP_VP_L/louis-vuitton-city-of-stars---LP0282_PM1_Side%20view.jpg","L-LOUIS-VUITTON---CITY-OF-STARS.jpg","https://www.dufteriet.no/2025/08/louis-vuitton-city-of-stars.html"
"L","LOUIS VUITTON - IMAGINATION","https://en.louisvuitton.com/images/is/image/lv/1/PP_VP_L/louis-vuitton-imagination--LP0221_PM1_Interior%20view.jpg","L-LOUIS-VUITTON---IMAGINATION.jpg","https://www.dufteriet.no/2025/08/louis-vuitton-imagination.html"
"L","LOUIS VUITTON - L’IMMENSITÉ","https://sg.louisvuitton.com/content/dam/lv/online/high-end/men/fragrance/M_Fr_limmensite.html/jcr:content/assets/IMMENSITE_LOUIS-VUITTON_010_CAMPAIGN_VISUAL_LV_COM_1600x2000_DII.jpg","L-LOUIS-VUITTON---L’IMMENSITÉ.jpg","https://www.dufteriet.no/2025/08/louis-vuitton-limmensite.html"
"L","LOUIS VUITTON - MÉTÉORE","https://my.louisvuitton.com/images/is/image/lv/1/PP_VP_L/louis-vuitton-meteore--LP0160_PM1_Interior%20view.jpg","L-LOUIS-VUITTON---MÉTÉORE.jpg","https://www.dufteriet.no/2025/08/louis-vuitton-meteore.html"
"L","LOUIS VUITTON - SUN SONG (2025)","https://en.louisvuitton.com/images/is/image/lv/1/PP_VP_L/louis-vuitton-sun-song--LP0427_PM1_Side%20view.jpg","L-LOUIS-VUITTON---SUN-SONG-(2025).jpg","https://www.dufteriet.no/2025/08/louis-vuitton-sun-song-2025.html"
"L","LOUIS VUITTON - SYMPHONY","https://uk.louisvuitton.com/images/is/image/lv/1/PP_VP_L/louis-vuitton-symphony--LP0249_PM1_Detail%20view.jpg","L-LOUIS-VUITTON---SYMPHONY.jpg","https://www.dufteriet.no/2025/08/louis-vuitton-symphony.html"
"L","LOUIS VUITTON ORAGE","https://my.louisvuitton.com/images/is/image/lv/1/PP_VP_L/louis-vuitton-orage--LP0051_PM1_Interior%20view.jpg","L-LOUIS-VUITTON-ORAGE.jpg","https://www.dufteriet.no/2025/08/louis-vuitton-orage.html"
"L","LOUMARI - AOMAK","https://tuxedo.no/cdn/shop/files/aomak2_jpg.webp?v=1755272345&width=1445","L-LOUMARI---AOMAK.webp","https://www.dufteriet.no/2025/08/loumari-aomak.html"
"L","LOUMARI - PORTHOLE","https://tuxedo.no/cdn/shop/files/Porthole_58a1d071-57a6-4633-bf6e-1a161420d315.jpg?v=1755271734&width=1946","L-LOUMARI---PORTHOLE.jpg","https://www.dufteriet.no/2025/08/loumari-porthole.html"
"M","MAISON FRANCIS KURKDJIAN - PETIT MATIN","https://www.lessenteurs.com/cdn/shop/files/petit-matin_2.png?v=1747671348&width=1946","M-MAISON-FRANCIS-KURKDJIAN---PETIT-MATIN.png","https://www.dufteriet.no/2025/08/maison-francis-kurkdjian-petit-matin.html"
"M","MAISON MARGIELA JAZZ CLUB","https://image-resizing.booztcdn.com/maison-margiela/mma37800103001_cclear_1.webp?has_grey=1&has_webp=1&version=936cec34e659a2e8338f2d04bdd94a5b&dpr=2.5&size=w400","M-MAISON-MARGIELA-JAZZ-CLUB.webp","https://www.dufteriet.no/2025/08/maison-margiela-jazz-club.html"
"M","MARC-ANTOINE BARROIS - GANYMEDE","https://www.sitexo.com/cache/thumbs/5cb580eb9915c17d701d1e2a/0x0-none/import_o.78371.jpg.webp","M-MARC-ANTOINE-BARROIS---GANYMEDE.webp","https://www.dufteriet.no/2025/08/marc-antoine-barrois-ganymede.html"
"M","MEMO - RUSSIAN LEATHER","https://www.libertineparfumerie.com.au/cdn/shop/files/3700458612356_2_1800x1800.jpg?v=1719467012","M-MEMO---RUSSIAN-LEATHER.jpg","https://www.dufteriet.no/2025/08/memo-russian-leather.html"
"M","MIND GAMES - BLOCKADE","https://perfumedefrance.com/cdn/shop/products/Blockade_960x_crop_center_ea576817-6e17-4d95-a428-5d0d20f7568d_1024x.webp?v=1666837439","M-MIND-GAMES---BLOCKADE.webp","https://www.dufteriet.no/2025/08/mind-games-blockade.html"
